country_code,Gold Medal,Silver Medal,Bronze Medal,Total
JPN,6.0,2.0,4.0,12.0
FRA,5.0,8.0,3.0,16.0
CHN,5.0,5.0,2.0,12.0
AUS,5.0,4.0,,9.0
KOR,5.0,3.0,1.0,9.0
USA,3.0,8.0,9.0,20.0
GBR,2.0,5.0,3.0,10.0
ITA,2.0,3.0,3.0,8.0
CAN,2.0,1.0,2.0,5.0
HKG,2.0,,1.0,3.0
GER,2.0,,,2.0
KAZ,1.0,,2.0,3.0
RSA,1.0,,2.0,3.0
BEL,1.0,,1.0,2.0
AZE,1.0,,,1.0
ROU,1.0,,,1.0
UZB,1.0,,,1.0
BRA,,1.0,2.0,3.0
SWE,,1.0,2.0,3.0
FIJ,,1.0,,1.0
KOS,,1.0,,1.0
MGL,,1.0,,1.0
POL,,1.0,,1.0
TUN,,1.0,,1.0
MDA,,,2.0,2.0
CRO,,,1.0,1.0
EGY,,,1.0,1.0
ESP,,,1.0,1.0
HUN,,,1.0,1.0
IND,,,1.0,1.0
IRL,,,1.0,1.0
MEX,,,1.0,1.0
SUI,,,1.0,1.0
SVK,,,1.0,1.0
TUR,,,1.0,1.0
UKR,,,1.0,1.0
